id,title,status,date,purpose,method,country_code,description,organizations,target,link,enforcement_details,revision
5eac6d6e04a448cffe6148c4,Dubai uses number plate scanners to detect people breaking lockdown,launched,,Lockdown enforcement,"AI, Number plate recognition",AE,"Cameras used to catch drivers breaking the speed limit will now analyse drivers’ license plates and determine whether they are deemed essential workers, according to Gulf News",Dubai Police,general_public,https://gulfnews.com/uae/covid-19-precaution-dubai-police-using-ai-to-find-out-if-your-trip-was-essential-1.70829268,Mandatory,5
5eac6d6e04a448cffe6148c5,The UAE uses smart helmets to detect fevers,launched,,Medical diagnostics,"Fever detection, Wearables",AE,"According to the government website, the smart helmet is equipped with a thermal camera which can help the authorities in detecting infected people from a safe distance, it can create and read QR codes and can also recognise vehicle licence plate numbers. Equipped with facial recognition technology, the helmet can also display the subject’s name on the Augmented Reality visor, as well as their medical history.The smart helmets scan the temperatures of up to 200 people a minute and can apparently measure temperatures from five metres (16 ft) away, triggering an alert if someone with a fever is detected.","KC Wearable, Ministry of Interior",general_public,https://www.reuters.com/article/us-health-coronavirus-emirates-smart-hel/emirati-police-deploy-smart-tech-in-coronavirus-fight-idUSKCN2260YJ,Mandatory,4
5eac6d6e04a448cffe6148c6,CuidAr: Argentina's symptom checker and information app,launched,2020-03-28,Self-diagnosis,"App, Smartphone, Symptom checker",AR,Described by the Ministry of Health as a symptom self-assessment app. Also a health code app?,Ministry of Health,general_public,https://www.argentina.gob.ar/aplicaciones/coronavirus,Voluntary,3
5eac6d6e04a448cffe6148c7,Corona.asan.gov.af: Afghan symptom checker website,inactive,2020-04-09,Self-diagnosis,"Symptom checker, Website",AF,Unclear why the website was taken down or if there is an alternative.," The Ministry of Telecommunications and Information Technology, The Ministry of Public Health",general_public,https://tolonews.com/afghanistan/afghan-ministries-launch-coronavirus-tracking-app,Voluntary,6
5eac6d6e04a448cffe6148c8,Two UAE cities use drones to enforce lockdown orders,launched,,Lockdown enforcement,Drones,AE,UAE police in Sharjah and Dubai have been using drones equipped with loudspeakers to order people to stay home.," Dubai Police, Sharjah Police",general_public,https://www.france24.com/en/20200405-jordan-becomes-latest-mideast-country-to-deploy-drones-in-virus-response,Mandatory,7
5eac6d6e04a448cffe6148c9,Argentinian quarantine app in Rosario and Sante Fe,announced,,Quarantine enforcement,"App, Smartphone",AR,"The app will be installed by the province's Criminal Investigation Agency to track those who are under criminal investigation for violating quarantine. The app will send reports to the the MPA investigation office and coordinated by the Attorney General's Office. Individuals will be required to sign a document acknowledging that they have been informed that breaking quarantine will make them liable to a sentence of six months to two years in prison, which will also apply if the individual deletes or uninstalls the app or prevents it from operating.",Argentina's Public Prosecutor's Office,general_public,https://www.lacapital.com.ar/la-ciudad/controlaran-quienes-incumplieron-elaislamiento-una-app-sus-celulares-n2572740.html,,3
5eac6d6e04a448cffe6148ca,Co-Track: Argentinian contact tracing app,inactive,2020-03-31,Contact tracing,"App, GPS, Smartphone",AR,"Currently being used officially in Misiones, Mendoza and Santiago del Estero, according to the Co-Track website.","Independent developers, Sensebyte",general_public,https://cotrack.social/faq.html,Voluntary,5
5eac6d6e04a448cffe6148cb,Stopp Corona: Austrian contact tracing app,launched,2020-03-25,Contact tracing,"App, Bluetooth, Google Apple Exposure Notification (GAEN), Smartphone",AT,Ugraded to be in line with Google and Apple approach,"Accenture, Red Cross",general_public,https://www.roteskreuz.at/site/meet-the-stopp-corona-app/,Voluntary,4
5eac6d6e04a448cffe6148cc,Palantir software used by agencies in Austria,launched,,Resource management and policy response,"AI, Big data",AT,"Bloomberg reported ""agencies"" in Austria - among other countries - were using Palantir software",Palantir,general_public,https://www.bloomberg.com/news/articles/2020-04-02/coronavirus-news-palantir-gives-away-data-mining-tools,,1
5eac6d6e04a448cffe6148cd,Austria's largest telecoms company provides location data to government,launched,,Mobility tracking,Telecom data,AT,"A1 , the largest telecommunications company in Austria, has provided the government with aggregated and anonymized ""movement profiles"" of all mobile phone users in the country. A1's data is being anlyzed by data firm Invenium that can provide details about how people are moving around on a ""municipality basis"".","A1, Invenium",general_public,https://www.derstandard.at/story/2000115828957/mobilfunker-a1-liefert-bewegungsstroeme-von-handynutzern-der-regierung,Mandatory,6
5eac6d6e04a448cffe6148ce,Naming and shaming for quarantine enforcement in Bosnia,launched,2020-03-24,Quarantine enforcement,Social media shaming,BA,"In the Republic of Srpska, the names and hometowns of the first 30 people who broke quarantine were published on March 23. The individuals were also fined."," Local Self-Government of the Republika Srpska, The Ministry of Administration",general_public,https://koronavirususrpskoj.com/spisak-lica-koja-su-prekrsila-izolaciju/?utm_source=Klix.ba&utm_medium=Clanak,Mandatory,4
5eac6d6e04a448cffe6148cf,Belgian telecoms companies share location data,launched,,Mobility tracking,Telecom data,BE,"Proximus, Telenet and Orange have been providing data to Belgium’s ""Data taskforce against corona"".","Dalberg Data Insights, Data taskforce against corona, Proximus, Telenet",general_public,https://plus.lesoir.be/286535/article/2020-03-12/coronavirus-le-cabinet-de-block-dit-oui-lutilisation-des-donnees-telecoms,,6
5eac6d6e04a448cffe6148d0,Drone enforces lockdown in Brussels,launched,,Lockdown enforcement,Drones,BE,Police in Brussels and in part of Limburg deployed drones to help enforce lockdown measurements and the ban on gatherings of more than two people.," Limburg Police, Brussels Police",general_public,https://news.sky.com/video/coronavirus-drone-enforces-covid-19-lockdown-in-brussels-11962203,,2
5eac6d6e04a448cffe6148d2,Brazilian start up helping regional governments assess lockdown compliance,launched,,"Lockdown enforcement, Mobility tracking",Telecom data,BR,"InLoco is delivering reports to authorities across the country with data that includes rankings of social distancing by neighborhood, percentages of people who remained at home in individual neighborhoods as well as mobility patterns around where people go when they leave their homes. Users are geotracked through a location map that doesn't use GPS or beacons which InLoco claims to be 30 times more accurate than GPS.",InLoco,general_public,https://www.zdnet.com/article/brazil-introduces-surveillance-tech-to-slow-the-spread-of-coronavirus/,Non-consensual,4
5eac6d6e04a448cffe6148d3,Palantir software used by agencies in Canada,launched,,Resource management and policy response,"AI, Big data",CA,Bloomberg reported agencies in Canada were using Palantir’s software to plan their virus response.,Palantir,general_public,https://www.bloomberg.com/news/articles/2020-04-02/coronavirus-news-palantir-gives-away-data-mining-tools,,1
5eac6d6e04a448cffe6148d4,BeAware: Contact tracing and tracking bracelets,launched,2020-04-07,"Quarantine enforcement, Contact tracing","App, Bluetooth, GPS, Smartphone, Wearables",BH,"Contact tracing and home quarantine app. The app notifies users if they have come into contact with an infected person or if they are approaching a location where there are infections. Working in tandem with the electronic bracelet, the app also makes sure people who have been ordered to self-quarantine remain in their location. Ministry of Health officials may randomly send picture requests to which self-isolating individuals must respond with a photo that clearly shows their face and bracelet. An alert is also sent to the monitoring station if the wearer moves further than 15 metres away from their phone.",,general_public,https://www.mobihealthnews.com/news/europe/bahrain-launches-electronic-bracelets-keep-track-active-covid-19-cases,"According to Bahrain’s Information & eGovernment Authority (iGA), violators will face legal penalties, potentially being sentenced to imprisonment for a period of not less than three months, as well as a fine between BD 1,000 ($2,660) and BD 10,000 ($26,595), or either one of the two penalties. Attempting to remove or tamper with the bracelet will also be considered a violation, the ministry said in a statement.",7
5eac6d6e04a448cffe6148d5,"Montreal ""report a situation"" website",launched,,Lockdown enforcement,Website,CA,"Montreal police have launched an online system to enable residents to report suspicious activity such as group gatherings after police officers noticed significant crowding in certain areas of the city. Montreal residents can use online reporting system to report social gatherings, non-essentials stores that are open and soccer matches in the park.",,general_public,https://spvm.qc.ca/en/Pages/Report-an-event/COVID19--Report-a-situation-online,,5
